http://drachenboard.ml/soundfiles/metaldrachen.mp3;die Metaldrachenarmee wird siegen
http://drachenboard.ml/soundfiles/fangemeinde.mp3;Fangemeinde irgendwann so groß
http://drachenboard.ml/soundfiles/derbestelachtzumschluss.mp3;der Beste lacht zum Schluss
http://drachenboard.ml/soundfiles/draumberuf.mp3;Traumberuf? Hab ich ned
#http://drachenboard.ml/soundfiles/ads.mp3;Legasdenie und ADS# DUPLICATE
http://drachenboard.ml/soundfiles/bamtut.mp3;BAM tut des weh
http://drachenboard.ml/soundfiles/drachelacht1.mp3;Drache lacht
http://drachenboard.ml/soundfiles/drachelacht2.mp3;Drache lacht 2
http://drachenboard.ml/soundfiles/drachelacht3.mp3;Drache lacht 3
http://drachenboard.ml/soundfiles/drachelacht4.mp3;Drache lacht 4
http://drachenboard.ml/soundfiles/drachelacht6.mp3;Drache lacht 5
http://drachenboard.ml/soundfiles/drachenlord.mp3;Drachenlord
http://drachenboard.ml/soundfiles/drachesingt.mp3;Drache singt
#http://drachenboard.ml/soundfiles/ehmloid.mp3;ehm Loide# Sound is sent as file in Telegram
http://drachenboard.ml/soundfiles/etzela.mp3;etzela
http://drachenboard.ml/soundfiles/ferde.mp3;Hol dir Ferde!
http://drachenboard.ml/soundfiles/fliegeaufrainer.mp3;Fliege greift Rainer an
http://drachenboard.ml/soundfiles/fragebeantworten.mp3;Frage beantworten
http://drachenboard.ml/soundfiles/gebichzu.mp3;geb ich auch ganz ehrlich zu
http://drachenboard.ml/soundfiles/hassderhater.mp3;schür den Hass der Hater
http://drachenboard.ml/soundfiles/heiratsantrag.mp3;Willst du mich heiraten?
http://drachenboard.ml/soundfiles/heullord.mp3;Heullord
http://drachenboard.ml/soundfiles/hh.mp3;Heil Hiddler
http://drachenboard.ml/soundfiles/hinaus.mp3;auf was ich hinaus will
http://drachenboard.ml/soundfiles/ichheadbange.mp3;ich beantworte deine Fragen grade nicht weil ich Headbange
http://drachenboard.ml/soundfiles/ihrkonntmichnetsehn.mp3;ihr könnt mich net sehn aber ich Headbange
http://drachenboard.ml/soundfiles/inderview.mp3;Inderview
http://drachenboard.ml/soundfiles/jinglebells.mp3;Jingle Bells
